code,name,level_text,level,enrollment
202,Aiton ES,Elementary,es,268
203,Amidon-Bowen ES,Elementary,es,355
450,Anacostia HS,High,hs,573
452,Ballou HS,High,hs,1058
462,Ballou STAY,STAY,other,575
204,Bancroft ES,Elementary,es,521
205,Barnard ES,Elementary,es,642
206,Beers ES,Elementary,es,434
402,Benjamin Banneker HS,High,hs,496
212,Brent ES,Elementary,es,404
213,Brightwood EC,Education Campus,campus,728
404,Browne EC,Education Campus,campus,331
296,Bruce-Monroe ES @ Park View,Elementary,es,475
221,Burrville ES,Elementary,es,331
247,C.W. Harris ES,Elementary,es,300
360,Capitol Hill Montessori,Education Campus,campus,373
454,Cardozo EC,Education Campus,campus,778
947,CHOICE Academy,Alternative,other,100
224,Cleveland ES,Elementary,es,326
442,Columbia Heights EC (CHEC),Education Campus,campus,1418
455,Coolidge HS,High,hs,385
405,Deal MS,Middle,ms,1380
231,Drew ES,Elementary,es,263
467,Dunbar HS,High,hs,662
457,Eastern HS,High,hs,995
232,Eaton ES,Elementary,es,477
471,Ellington School of the Arts,Art,hs,534
407,Eliot-Hine MS,Middle,ms,188
238,Garfield ES,Elementary,es,312
239,Garrison ES,Elementary,es,237
227,H.D. Cooke ES,Elementary,es,403
246,Hardy MS,Middle,ms,403
413,Hart MS,Middle,ms,340
258,Hearst ES,Elementary,es,315
249,Hendley ES,Elementary,es,479
251,Houston ES,Elementary,es,280
252,Hyde-Addison ES,Elementary,es,336
950,Incarcerated Youth Program,Alternative,other,28
339,J.O. Wilson ES,Elementary,es,518
254,Janney ES,Elementary,es,734
433,Jefferson MS,Middle,ms,277
416,Johnson MS,Middle,ms,282
421,Kelly Miller MS,Middle,ms,436
257,Ketcham ES,Elementary,es,317
272,Key ES,Elementary,es,407
259,Kimball ES,Elementary,es,354
344,"King, M.L. ES",Elementary,es,411
417,Kramer MS,Middle,ms,244
261,Lafayette ES,Elementary,es,707
370,Langley ES,Elementary,es,296
264,LaSalle-Backus EC,Education Campus,campus,347
266,Leckie ES,Elementary,es,537
271,Ludlow-Taylor ES,Elementary,es,404
884,Luke Moore HS,High,hs,342
308,Malcolm X ES,Elementary,es,250
273,Mann ES,Elementary,es,380
284,Marie Reed ES,Elementary,es,402
274,Maury ES,Elementary,es,400
280,Miner ES,Elementary,es,398
285,Moten ES,Elementary,es,421
287,Murch ES,Elementary,es,600
288,Nalle ES,Elementary,es,392
291,Orr ES,Elementary,es,433
292,Oyster-Adams Bilingual School,Education Campus,campus,681
294,Patterson ES,Elementary,es,411
295,Payne ES,Elementary,es,295
301,Peabody ES,Elementary,es,230
478,Phelps ACE HS,High,hs,280
299,Plummer ES,Elementary,es,408
300,Powell ES,Elementary,es,525
316,Randle Highlands ES,Elementary,es,345
302,Raymond EC,Education Campus,campus,578
459,Roosevelt HS,High,hs,600
456,Roosevelt STAY,STAY,other,575
305,Ross ES,Elementary,es,174
307,Savoy ES,Elementary,es,345
175,School-Within-School,Elementary,es,315
466,School Without Walls HS,High,hs,585
409,School Without Walls @ Francis-Stevens EC,Education Campus,campus,454
309,Seaton ES,Elementary,es,341
313,Shepherd ES,Elementary,es,354
315,Simon ES,Elementary,es,292
322,Smothers ES,Elementary,es,280
427,Sousa MS,Middle,ms,255
319,Stanton ES,Elementary,es,513
321,Stoddert ES,Elementary,es,435
428,Stuart-Hobson MS,Middle,ms,424
324,Takoma EC,Education Campus,campus,465
325,Thomas ES,Elementary,es,422
326,Thomson ES,Elementary,es,297
327,Truesdell EC,Education Campus,campus,628
328,Tubman ES,Elementary,es,560
329,Turner ES,Elementary,es,499
330,Tyler ES,Elementary,es,533
332,Walker-Jones EC,Education Campus,campus,473
474,Washington Metropolitan HS,High,hs,275
333,Watkins ES,Elementary,es,435
336,West EC,Education Campus,campus,314
335,Wheatley EC,Education Campus,campus,346
338,Whittier EC,Education Campus,campus,367
463,Wilson HS,High,hs,1783
464,"Woodson, H.D. HS",High,hs,637
861,Youth Services Center,Alternative,other,81
304,River Terrace Special Education Center,Special Education Center,other,132
331,Van Ness ES,Elementary,es,129
347,Brookland MS,Middle,ms,311
349,Dorothy Height ES,Elementary,es,513
220,Burroughs ES,Elementary,es,291
262,Langdon ES,Elementary,es,311
219,Bunker Hill ES,Elementary,es,167
290,Noyes ES,Elementary,es,196
458,McKinley Technology HS,High,hs,672
435,McKinley MS,Middle,ms,209
420,MacFarland MS,Middle,ms,72
425,Empowering Males HS,High,hs,150